"mz","rt","adduct","isotopes","Formula","Compound","HMDBID","intenVale","pvals","pfdr","cvs"
477.1042,51.03,"[M+H]+ 476.097","[66][M]+","C22H21O12; ","6-{[3,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-8aH-chromen-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid; 6-{[3,5-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-5H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid; 3,4,5-trihydroxy-6-[2-methoxy-4-(3,5,7-trihydroxy-5H-chromen-2-yl)phenoxy]oxane-2-carboxylic acid; 3,4,5-trihydroxy-6-{[3,5,7-trihydroxy-2-(3-methoxyphenyl)-8aH-chromen-6-yl]oxy}oxane-2-carboxylic acid; 3,4,5-trihydroxy-6-{[3,6,7-trihydroxy-2-(3-methoxyphenyl)-8aH-chromen-5-yl]oxy}oxane-2-carboxylic acid; ","HMDB0128119; HMDB0128120; HMDB0128121; HMDB0128144; HMDB0128145; ",4100392.2,2.1059703e-26,0,35.77
361.8714,39.49,"","","","",NA,298533.5,2.1330579e-26,0,44.82
405.9472,44.87,"","","","",NA,13572540.3,2.5166582e-26,0,37.28
236.0958,48.09,"","","","",NA,2744018.3,2.6359876e-26,0,35.22
544.617,38.15,"","","","",NA,402777.6,4.1047125e-26,0,55.18
434.637,38.16,"","","","",NA,230712.1,6.0759694e-26,0,47.2
365.996,48.2,"","","","",NA,1832952.3,8.0597687e-26,0,34.64
385.9021,34.7,"[M+K]+ 346.937","","","",NA,4663188.8,8.4053219e-26,0,35.93
382.0293,39.56,"","","","",NA,3108846.5,8.4394238e-26,0,35.51
124.9229,38.66,"","","","",NA,669093.8,1.0578774e-25,0,33.04
363.8688,39.24,"","","","",NA,210045.7,1.6619951e-25,0,48.44
667.1087,42.69,"[M+Na]+ 644.12","","C30H28O14S; ","{5-[3-(2,4-dihydroxyphenyl)-3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]-2-hydroxypropyl]-2-hydroxyphenyl}oxidanesulfonic acid; (5-{8-[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-2-hydroxypropyl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}-2-hydroxyphenyl)oxidanesulfonic acid; {[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-1-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]propan-2-yl]oxy}sulfonic acid; ","HMDB0135084; HMDB0135085; HMDB0135086; ",4639368.5,2.727617e-25,0,35.95
440.9814,39.08,"","[61][M]+","","",NA,4963757.7,3.0924469e-25,0,36.15
638.1003,49.46,"","","","",NA,2166607,3.1353692e-25,0,34.87
188.9558,34.82,"","","C6H5BrO2; ","4-Bromocatechol; 4-Bromophenol-2,3-epoxide; ","HMDB0062396; HMDB0062398; ",970456.6,4.9493346e-25,0,33.65
102.9706,34.77,"[M+2K]2+ 128.014 [M+2H]2+ 203.926","","","",NA,47743535.6,5.4918196e-25,0,9.39
84.9603,34.94,"[M+2H-HCOOH]2+ 213.91","","","",NA,143293298.7,5.8932645e-25,0,9.49
668.7876,38.54,"","","","",NA,2032091.5,7.7700306e-25,0,34.79
549.0771,40.21,"","","","",NA,496272.4,1.2476622e-24,0,46.99
477.9439,38.78,"","[65][M+1]+","","",NA,876957.1,1.5044737e-24,0,33.53
167.013,34.84,"","[27][M]+","","",NA,140165994.1,1.5340516e-24,0,8.7
102.0918,42.98,"","","C5H11NO; ","5-Aminopentanal; N-butylformamide; ","HMDB0012815; HMDB0062600; ",149556611.1,2.9009088e-24,0,10.66
349.8864,43.95,"","","","",NA,115075.3,3.6803917e-24,0,43.47
307.5848,43.07,"","","","",NA,701053,3.729287e-24,0,47.6
792.471,38.17,"","","","",NA,1368644.9,4.2295441e-24,0,58.26
337.0145,54.76,"","","","",NA,3813984.8,4.2999867e-24,0,35.67
306.74,38.27,"","","","",NA,1287038.4,4.5246323e-24,0,34.18
215.0163,43.49,"[M+H]+ 214.009","","","",NA,31458944.6,4.8358832e-24,0,18.24
711.0726,41.78,"[2M+K]+ 336.055","","","",NA,4292435.3,5.367712e-24,0,35.84
740.0649,40.72,"","[71][M+1]+","","",NA,517836.2,5.5205273e-24,0,47.04
651.1351,42.54,"","[69][M]+","","",NA,8643932.4,5.7638563e-24,0,36.75
81.5211,34.68,"[M+2H-HCOOH]2+ 207.032","","","",NA,62126393.2,5.9079583e-24,0,9.29
414.9717,39.32,"","","","",NA,1089963.4,6.1405178e-24,0,33.84
695.0987,41.78,"[2M+Na]+ 336.055","","","",NA,5816133.6,6.6807842e-24,0,36.34
91.028,34.68,"","[5][M+1]2+","","",NA,19708115.6,7.0534401e-24,0,8.52
206.1521,42.23,"[M+H+NH3]+ 188.117","","C8H16N2O3; ","N6-Acetyl-L-lysine; N-alpha-Acetyl-L-lysine; Glycylleucine; Alanylvaline; Glycyl-Isoleucine; ","HMDB0000206; HMDB0000446; HMDB0000759; HMDB0028700; HMDB0028844; ",802224.7,8.0104759e-24,0,48.17
676.8186,38.58,"","","","",NA,1082109.2,9.7749935e-24,0,33.84
446.8309,42,"","","","",NA,289277.6,1.285407e-23,0,52.42
143.1545,38.28,"","","","",NA,356166.7,1.3105716e-23,0,31.94
626.8031,38.72,"","","","",NA,1705356.8,1.4633603e-23,0,34.52
125.0381,34.62,"","","","",NA,198901.9,1.4832241e-23,0,43.98
256.9474,34.8,"","[48][M+1]+","","",NA,2344113.2,1.5980151e-23,0,34.99
246.7842,38.34,"","","","",NA,1424021.4,1.6166133e-23,0,34.39
522.9193,38.33,"","","","",NA,266868.4,1.6918977e-23,0,45.11
358.2532,40.09,"","[52][M+1]+","","",NA,758067.5,2.1891423e-23,0,48.12
689.0907,42.32,"[M+2Na-H]+ 644.12","","C30H28O14S; ","{5-[3-(2,4-dihydroxyphenyl)-3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]-2-hydroxypropyl]-2-hydroxyphenyl}oxidanesulfonic acid; (5-{8-[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-2-hydroxypropyl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}-2-hydroxyphenyl)oxidanesulfonic acid; {[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-1-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]propan-2-yl]oxy}sulfonic acid; ","HMDB0135084; HMDB0135085; HMDB0135086; ",4710629.3,2.4627836e-23,0,35.96
499.0863,50.58,"[M+Na]+ 476.097","","C22H20O12; ","Diosmetin 7-O-beta-D-glucuronopyranoside; 3,4,5-trihydroxy-6-{[5-hydroxy-2-(3-hydroxy-5-methoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}oxane-2-carboxylic acid; 3,4,5-trihydroxy-6-{[7-hydroxy-2-(3-hydroxy-5-methoxyphenyl)-4-oxo-4H-chromen-5-yl]oxy}oxane-2-carboxylic acid; 6-[3-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-5-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid; 6-{[3,5-dihydroxy-2-(3-methoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid; ","HMDB0037452; HMDB0124901; HMDB0124902; HMDB0124903; HMDB0126583; ",1305029.4,2.4782626e-23,0,34.15
211.9718,34.75,"[M+K]+ 173.009 [M+Na]+ 188.983 [M+H]+ 210.964","","","",NA,849527.4,2.9417897e-23,0,33.43
239.9666,34.75,"","[43][M]+","","",NA,58803630.5,3.0075154e-23,0,15.57
300.795,38.28,"","","","",NA,462350.6,3.0241477e-23,0,32.45
808.5342,38.17,"","","","",NA,668978.8,3.3147498e-23,0,50.65
814.974,39.9,"","","","",NA,1552361.2,3.364338e-23,0,34.39
755.0363,41.23,"","","","",NA,4113300.5,4.6400078e-23,0,35.79
680.5912,38.08,"","","","",NA,380155.8,5.1106745e-23,0,54.89
266.9665,55.04,"","","C3H8O10P2; ","Glyceric acid 1,3-biphosphate; 2,3-Diphosphoglyceric acid; ","HMDB0001270; HMDB0001294; ",1441576.4,5.1489914e-23,0,49.69
613.1595,42.84,"","","C20H32N6O12S2; ","Oxidized glutathione; ","HMDB0003337; ",1575037.2,5.2725292e-23,0,49.94
285.9417,39.75,"","","","",NA,436398.8,5.4259503e-23,0,55.44
477.1043,68.45,"","","C22H20O12; ","Diosmetin 7-O-beta-D-glucuronopyranoside; 3,4,5-trihydroxy-6-{[5-hydroxy-2-(3-hydroxy-5-methoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}oxane-2-carboxylic acid; 3,4,5-trihydroxy-6-{[7-hydroxy-2-(3-hydroxy-5-methoxyphenyl)-4-oxo-4H-chromen-5-yl]oxy}oxane-2-carboxylic acid; 6-[3-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-5-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid; 6-{[3,5-dihydroxy-2-(3-methoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid; ","HMDB0037452; HMDB0124901; HMDB0124902; HMDB0124903; HMDB0126583; ",2239566.4,6.2428011e-23,0,34.93
624.8062,38.53,"","","","",NA,1184283.1,6.9215778e-23,0,33.97
733.0544,41.26,"[2M+Na+K-H]+ 336.055","","","",NA,4078446,1.0200413e-22,0,35.76
186.5395,50.95,"","","","",NA,4228557.4,1.1700397e-22,0,35.82
282.1197,42.82,"","","C11H15N5O4; ","1-Methyladenosine; N6-Methyladenosine; 2'-O-Methyladenosine; 3'-O-Methyladenosine; ","HMDB0003331; HMDB0004044; HMDB0004326; HMDB0006023; ",2542983.6,1.1957556e-22,0,35.11
652.138,42.42,"","[69][M+1]+","","",NA,1650777,1.3299024e-22,0,34.51
341.9622,43.21,"","","","",NA,252619.2,1.6773055e-22,0,51.87
799.0002,40.12,"","","","",NA,2530773.1,1.9249715e-22,0,35.26
576.6107,38.25,"[M+H-C2H4]+ 603.637","","","",NA,738745.7,2.6698708e-22,0,33.26
660.0828,45.69,"[M+H]+ 659.075","","","",NA,2385588.6,2.9185322e-22,0,35.03
392.0343,41.65,"[M+2Na-H]+ 347.063","","C10H14N5O7P; ","Adenosine monophosphate; 2'-Deoxyguanosine 5'-monophosphate; 3'-AMP; Adenosine 2'-phosphate; 2-hydroxy-dAMP; ","HMDB0000045; HMDB0001044; HMDB0003540; HMDB0011617; HMDB0059594; ",1289603.4,2.9521268e-22,0,49.81
628.8002,38.55,"","","","",NA,629813,3.0872026e-22,0,32.95
386.0263,41.93,"[M+K]+ 347.063","","C10H14N5O7P; ","Adenosine monophosphate; 2'-Deoxyguanosine 5'-monophosphate; 3'-AMP; Adenosine 2'-phosphate; 2-hydroxy-dAMP; ","HMDB0000045; HMDB0001044; HMDB0003540; HMDB0011617; HMDB0059594; ",1182899.8,3.2175722e-22,0,48.77
792.9919,40.02,"","","","",NA,1372962.4,3.6745378e-22,0,34.22
398.9976,39.63,"","","","",NA,1020575.4,3.891845e-22,0,33.74
274.9581,34.92,"[2M+2Na-H]+ 114.994","","","",NA,864855.2,3.9648605e-22,0,33.47
673.1171,42.23,"[2M+H]+ 336.055","[70][M]+","","",NA,7768052.1,5.2499146e-22,0,36.68
327.0152,39.26,"","","","",NA,745454.6,6.2188747e-22,0,33.45
704.0465,44.22,"","","","",NA,1923177.2,7.4832895e-22,0,35.04
421.9211,44.22,"","","","",NA,2579055.9,7.7347579e-22,0,35.17
302.7456,38.22,"","","","",NA,1549070.5,8.2229194e-22,0,34.41
70.0659,41.51,"","","C4H7N; ","1-Pyrroline; 1-Pyrrolinium; ","HMDB0012497; HMDB0060246; ",46927989.8,8.6357624e-22,0,8.61
459.8764,43.09,"","","","",NA,170660.7,9.0043604e-22,0,51.46
139.0504,42.74,"","","C6H6N2O2; ","Urocanic acid; Nicotinamide N-oxide; 5-Oxo-2(5H)-isoxazolepropanenitrile; 2-Aminonicotinic acid; Trans-urocanate; ","HMDB0000301; HMDB0002730; HMDB0031338; HMDB0061680; HMDB0062562; ",29802481.2,9.2344704e-22,0,7.46
463.906,45,"","","","",NA,1996729.2,9.8123129e-22,0,34.75
79.0185,34.7,"","[3][M]2+","","",NA,109458811.7,1.3479989e-21,0,6.91
310.8758,44.15,"","","","",NA,620148,1.6923553e-21,0,35.84
151.0354,34.75,"[M+K+NH3]+ 95.0462","","","",NA,181357423.3,1.7461707e-21,0,6.64
111.0394,34.98,"","[9][M]2+","","",NA,61007203.3,2.3256591e-21,0,6.83
102.5359,34.67,"[M+H]+ 101.529","","","",NA,13031348.6,4.2603242e-21,0,8
361.0199,44.76,"","","","",NA,1250994,4.5548141e-21,0,34.13
122.5474,34.68,"","","","",NA,15046555.1,4.905158e-21,0,4.91
612.604,38.11,"","","","",NA,485509.2,5.0781451e-21,0,51.18
630.156,42.84,"","[68][M+1]+","","",NA,1288815.3,6.5668177e-21,0,34.11
128.0708,43.23,"","","C6H9NO2; ","1-Piperideine-2-carboxylic acid; ​2,3,4,5-Tetrahydro-2-pyridinecarboxylic acid; (±)-4-Methylene-2-pyrrolidinecarboxylic acid; ","HMDB0001084; HMDB0012130; HMDB0029434; ",142239189.9,7.9711741e-21,0,6.76
618.8603,38.77,"","","","",NA,899755.2,8.6810148e-21,0,33.54
682.0645,44.87,"[M+Na]+ 659.075","","","",NA,2899039.6,8.7901006e-21,0,35.43
777.0181,40.45,"","","","",NA,2584835.2,8.9132935e-21,0,35.21
296.821,38.22,"","","","",NA,1138713.9,9.8811065e-21,0,33.93
101.9847,34.67,"[M+Na]+ 78.9953 [M+H-CH2]+ 114.994 [M+H-COCH2]+ 142.989","","","",NA,2858069.1,1.2143242e-20,0,8.77
450.9476,39.11,"","","","",NA,1245308.3,1.3155282e-20,0,34.08
508.8886,38.98,"","","","",NA,2027387.9,1.4980262e-20,0,34.78
111.0098,34.7,"[M+2H-H20]2+ 238.02","","","",NA,8294733.5,1.7289223e-20,0,8.38
640.604,38.24,"[M+K+NaCOOH]+ 533.652 [M+K]+ 601.64","","","",NA,757958,1.8415501e-20,0,33.29
708.5911,38.3,"[M+K+NaCOOH]+ 601.64","","","",NA,509835.8,2.4679234e-20,0,32.63
645.1273,42.67,"[M+H]+ 644.12","","C30H28O14S; ","{5-[3-(2,4-dihydroxyphenyl)-3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]-2-hydroxypropyl]-2-hydroxyphenyl}oxidanesulfonic acid; (5-{8-[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-2-hydroxypropyl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}-2-hydroxyphenyl)oxidanesulfonic acid; {[1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)-1-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-8-yl]propan-2-yl]oxy}sulfonic acid; ","HMDB0135084; HMDB0135085; HMDB0135086; ",1563117.2,2.5732431e-20,0,34.67
123.0443,44.19,"","","C7H6O2; ","Benzoic acid; 4-Hydroxybenzaldehyde; 3-(2-Furanyl)-2-propenal; 2-Hydroxybenzaldehyde; ","HMDB0001870; HMDB0011718; HMDB0032918; HMDB0034170; ",108940433.5,2.9700107e-20,0,11.19
331.0537,43.04,"[2M+2K-H]+ 127.069 [2M+K]+ 146.046","","","",NA,103886723.1,3.3608154e-20,0,10.78
403.9824,55.42,"","","","",NA,2940635.3,3.5632056e-20,0,35.31
544.9282,39.15,"","","","",NA,1159920.3,3.7992762e-20,0,34.2
478.1074,51.18,"","[66][M+1]+","","",NA,601208.2,4.3331291e-20,0,32.9
623.1356,44.32,"","","","",NA,847335.8,4.4634594e-20,0,33.71
245.9542,40.02,"","","","",NA,946893,4.6085085e-20,0,33.63
413.9773,39.19,"","","","",NA,761102.7,4.9194662e-20,0,33.27
112.0066,34.67,"[3M+Na+K]2+ 54.0198","","","",NA,9211059.1,5.4018409e-20,0,8.17
153.066,48.86,"","","C7H8N2O2; ","N1-Methyl-2-pyridone-5-carboxamide; N1-Methyl-4-pyridone-3-carboxamide; ","HMDB0004193; HMDB0004194; ",25518059,5.7870711e-20,0,7.45
678.8161,38.56,"","","","",NA,1194808.8,5.9360571e-20,0,34.03
115.9643,11.88,"","","","",NA,14646194.3,6.4059734e-20,0,7.24
644.598,38.24,"","","","",NA,538317,6.8602116e-20,0,32.69
112.8961,38.53,"","","SSe; ","Selenium Sulfide; ","HMDB0015106; ",93679639.5,8.1786317e-20,0,8.21
726.7463,38.33,"","","","",NA,1182430.4,9.3814346e-20,0,34.11
74.9761,34.84,"[M+K]+ 36.0129","","","",NA,1963146.2,1.6440166e-19,0,9.46
739.0628,41.06,"","[71][M]+","","",NA,3693467.9,1.6491909e-19,0,36.38
396.9998,39.66,"[M+K]+ 358.037","[55][M]+","C14H14O9S; ","(2-hydroxy-2-{9-hydroxy-7-oxo-2H,3H,7H-furo[3,2-g]chromen-2-yl}propoxy)sulfonic acid; [9-hydroxy-2-(2-hydroxypropan-2-yl)-7-oxo-2H,3H,7H-furo[3,2-g]chromen-3-yl]oxidanesulfonic acid; ","HMDB0132923; HMDB0132925; ",25033895.2,1.6946638e-19,0,6.34
186.9227,34.78,"[M+H-CO]+ 213.91","","","",NA,939670.6,1.7474249e-19,0,33.61
352.0404,42.72,"[M+K]+ 313.077","","","",NA,987096.2,2.0178874e-19,0,34.29
88.5213,34.72,"[M+H-CH2]+ 101.529","","","",NA,3409106.6,2.2581155e-19,0,8.6
412.8532,39.1,"[M+Na]+ 389.863","","","",NA,8772030,2.3251165e-19,0,7.28
119.0494,59.65,"[M+K]+ 80.0862 [M+Na]+ 96.0601 [M+H]+ 118.042 [M+H-HCOOH]+ 164.048","","C8H6O; C9H8O3; ","2,4,6-Octatriyn-1-ol; Benzofuran; 3,5,7-Octatriyn-1-ol; xi-2,3-Octadiene-5,7-diyn-1-ol; Phenylpyruvic acid; m-Coumaric acid; 4-Hydroxycinnamic acid; 2-Hydroxycinnamic acid; Enol-phenylpyruvate; ","HMDB0030968; HMDB0032929; HMDB0038998; HMDB0040549; HMDB0000205; HMDB0001713; HMDB0002035; HMDB0002641; HMDB0012225; ",2410906.3,2.4979457e-19,0,6.21
804.4961,38.17,"","","","",NA,681017.2,2.6057687e-19,0,53.94
254.8237,38.22,"[2M+Na]+ 115.918","","","",NA,15847079.1,3.0800478e-19,0,9.12
716.7095,38.49,"","","","",NA,329226.5,3.4415116e-19,0,51.9
215.9934,32.59,"","","","",NA,735008.7,3.6109388e-19,0,33.45
322.122,56.65,"","","","",NA,883828.1,3.75084e-19,0,48.35
105.0036,34.67,"","","","",NA,3209363.1,4.067051e-19,0,7.73
145.0003,34.7,"","[19][M+1]+","","",NA,3539264.5,4.8091618e-19,0,10.37
266.8495,38.27,"[M+Na+NaCOOH]+ 175.873 [M+Na]+ 243.86","","","",NA,11389761.8,5.4781077e-19,0,5.56
498.9405,38.7,"","","","",NA,2292203.8,5.6868739e-19,0,35.45
749.0285,40.56,"[2M+2K-H]+ 336.055","","","",NA,1331734.6,6.7990531e-19,0,34.39
79.5202,34.68,"","[3][M+1]2+","C5H6N2O4; ","4,5-Dihydroorotic acid; L-Dihydroorotic acid; ","HMDB0000528; HMDB0003349; ",4748880.7,7.2982343e-19,0,7.94
796.4641,38.13,"","","","",NA,326673.5,7.4325801e-19,0,54.02
277.9477,34.77,"","","","",NA,573456.2,8.3007936e-19,0,32.83
419.985,39.03,"","[58][M+1]+","","",NA,611525.9,8.8090506e-19,0,32.92
457.021,42.99,"","","","",NA,1010702.6,8.9108933e-19,0,33.76
196.8652,38.27,"[3M+2Na]2+ 115.918","","","",NA,14942497.6,1.0022359e-18,0,4.91
471.936,38.99,"","[64][M+1]+","","",NA,502581,1.4557435e-18,0,32.6
400.8275,38.54,"[M+K]+ 361.864 [M+Na]+ 377.838 [M+H]+ 399.82 [M+H-HCOOH]+ 445.825","","","",NA,7116595.1,1.4565173e-18,0,13.72
73.5324,34.65,"[M+H-CO]+ 100.52","","","",NA,14041387.1,1.4721767e-18,0,7.36
101.528,34.72,"[M+H]+ 100.52","","","",NA,2952512,1.7578226e-18,0,6.43
174.0344,48.5,"","","","",NA,56294,2.5275475e-18,0,39.58
258.8177,38.19,"","","","",NA,10439205,2.6761634e-18,0,6.46
93.0158,34.66,"","","","",NA,1954586.6,3.1172384e-18,0,9.7
155.5049,34.75,"[M+K]+ 116.541","","","",NA,521820.2,4.0959486e-18,0,32.7
100.0221,43.79,"","","C4H5NS; ","Allyl isothiocyanate; 3-Thiocyanato-1-propene; 4-Methylthiazole; 5-Methylthiazole; Thiiraneacetonitrile; ","HMDB0005843; HMDB0029755; HMDB0033116; HMDB0033117; HMDB0038624; ",124624665.4,4.6989585e-18,0,5.48
717.0808,41.26,"[2M+2Na-H]+ 336.055","","","",NA,4384332.4,5.092649e-18,0,36.26
124.0588,46.47,"","[13][M]+","","",NA,24407500,6.2802571e-18,0,6.2
362.886,34.83,"[M+K]+ 323.921","","","",NA,5286945.7,7.1403842e-18,0,36.17
295.1024,44.21,"","","","",NA,10854836.9,8.299662e-18,0,37.04
118.0865,42.34,"[M+H]+ 117.079","","C5H11NO2; ","L-Valine; Vaporole; N-Methyl-a-aminoisobutyric acid; 5-Aminopentanoic acid; Norvaline; ","HMDB0000883; HMDB0001382; HMDB0002141; HMDB0003355; HMDB0013716; ",19460452.3,8.4413473e-18,0,5.48
418.006,39.43,"","[57][M+1]+","","",NA,1069595.8,1.1401876e-17,0,34.18
82.0144,34.61,"[M+H-HCOOH]+ 127.012","","","",NA,71999302.1,1.1779284e-17,0,5.91
141.0716,39.71,"","[18][M+1]+","","",NA,36726507.5,1.2272818e-17,0,5.08
98.9846,53.54,"","","H3O4P; ","Phosphate; ","HMDB0001429; ",29114555.2,1.2321837e-17,0,5.54
727.0469,41.37,"","","","",NA,1154413.6,1.2813161e-17,0,37.02
241.1547,43.84,"","[45][M]+","","",NA,95020870.6,1.3800326e-17,0,9.1
94.0456,34.66,"","[6][M]2+","","",NA,131704257.2,1.4893666e-17,0,5.34
392.7959,38.32,"","","","",NA,12307824.1,1.526814e-17,0,5.13
488.9043,39.09,"","","","",NA,937591.5,1.532809e-17,0,33.95
114.8931,38.33,"","","","",NA,31256207.8,1.6165214e-17,0,10.01
365.1055,40.66,"","","","",NA,380123.4,1.720438e-17,0,45.73
728.7427,38.54,"","","","",NA,624147.3,1.7728846e-17,0,32.93
206.894,38.24,"[M+Na+NaCOOH]+ 115.918","","","",NA,28683165.9,1.809009e-17,0,7.28
111.5411,34.96,"","[9][M+1]2+","C8H14O7; ","Ethyl glucuronide; (3,4,5,6-tetrahydroxyoxan-2-yl)methyl acetate; 6-ethoxy-3,4,5-trihydroxyoxane-2-carboxylic acid; ","HMDB0010325; HMDB0125202; HMDB0131286; ",5185892.6,1.9817793e-17,0,7.49
318.9355,42.95,"","","C7H9ClO6P2S; C12H6Cl4N2; ","Tiludronate; 3,3',4,4'-Tetrachloroazobenzene; ","HMDB0015265; HMDB0032856; ",394729.1,2.1596785e-17,0,32.52
125.0621,46.6,"","[13][M+1]+","","",NA,28316192.8,2.8716795e-17,0,6.05
80.9485,38.24,"[M+2Na]2+ 115.918","","","",NA,113072913.6,3.0622386e-17,0,4.05
400.738,38.22,"[M+K]+ 361.775","","","",NA,2879530.2,3.6067561e-17,0,6.25
82.9455,38.26,"[M+2H-HCOOH]2+ 209.881","","","",NA,41039384.5,3.7280797e-17,0,4.3
198.8623,38.22,"[M+Na]+ 175.873 [M+H-HCOOH]+ 243.86","","","",NA,11832846,3.8325771e-17,0,7.58
233.9316,34.83,"","","","",NA,1309431,4.2879336e-17,0,34.19
95.0443,34.65,"","[6][M+2]2+","","",NA,19899787.1,4.4927684e-17,0,5.81
127.9669,22.26,"","","","",NA,2073748.6,4.7492037e-17,0,13.81
113.0359,34.99,"[M+K+NH3]+ 57.0459","","","",NA,1170121,4.9462903e-17,0,34.01
387.9778,45.41,"","","","",NA,1073579.9,5.3747527e-17,0,34.15
140.0683,39.73,"[M+Na]+ 117.079","[18][M]+","C5H11NO2; ","L-Valine; Vaporole; N-Methyl-a-aminoisobutyric acid; 5-Aminopentanoic acid; Norvaline; ","HMDB0000883; HMDB0001382; HMDB0002141; HMDB0003355; HMDB0013716; ",1126277.7,5.3934879e-17,0,9.17
108.5368,35.09,"","","","",NA,2322904.5,5.8975485e-17,0,7.11
142.0726,39.79,"","[18][M+2]+","","",NA,4468400.2,6.8435883e-17,0,5.74
90.9772,38.48,"","","","",NA,32026427.7,6.969033e-17,0,4.59
